tok0,tok1,tok2,n_active,both_idle,c2_rank,c3_rank,act,c2_s1,c2_s3,c3_s1,c3_s3
1,0,0,1,1,7,7,2,2,2,-1,-1
37,7,3,4,1,0,7,2,2,2,-1,-1
37,7,3,3,0,7,7,1,0,0,0,0
7,3,0,2,0,7,7,3,-1,-1,1,1
7,0,0,1,0,7,7,1,1,1,1,1
13,3,0,2,1,7,7,1,0,0,1,1
3,0,0,1,0,7,7,3,-1,-1,1,1
8,8,8,8,1,0,1,2,1,1,-1,-1
8,8,8,7,0,7,1,3,-1,-1,1,1
8,8,8,6,1,7,7,2,1,1,-1,-1
8,8,8,5,0,7,7,3,-1,-1,1,1
8,8,8,4,1,7,7,0,0,0,0,1
8,8,0,2,1,7,7,4,-1,-1,2,-1
8,8,0,2,1,7,0,0,0,0,0,0
8,8,4,4,1,7,7,2,2,2,-1,-1
8,8,4,3,0,7,7,3,-1,-1,2,0
8,8,0,2,0,7,7,4,0,-1,-1,-1
8,8,0,2,0,0,7,0,0,0,0,0
26,16,12,4,1,7,7,1,0,1,0,1
16,12,10,3,1,7,7,4,0,-1,-1,-1
16,12,10,3,1,0,7,4,-1,-1,0,-1
16,12,10,3,1,0,0,1,0,0,0,1
12,10,0,2,1,7,7,4,-1,-1,2,-1
12,10,0,2,1,7,0,0,0,0,0,0
14,5,2,6,1,7,7,2,2,2,-1,-1
14,5,1,5,0,7,7,3,-1,-1,2,2
14,5,1,4,0,7,7,2,2,1,-1,-1
14,5,1,3,0,7,7,1,0,0,0,1
5,1,0,2,1,7,7,4,-1,-1,2,-1
5,1,0,2,1,7,0,0,0,2,1,1
10,1,1,7,1,7,7,0,1,1,1,1
10,1,1,5,1,7,7,2,2,2,-1,-1
10,1,1,4,0,7,7,3,-1,-1,2,2
10,1,1,3,0,7,7,2,2,1,-1,-1
10,1,0,2,0,7,7,1,1,1,1,2
1,0,0,1,0,7,7,2,2,2,-1,-1
28,4,4,6,1,7,7,2,1,1,-1,-1
28,4,4,5,0,7,7,3,-1,-1,1,0
28,4,4,4,0,7,7,2,1,1,-1,-1
28,4,4,3,0,7,7,3,-1,-1,1,1
28,4,0,2,0,7,7,2,1,1,-1,-1
28,0,0,1,0,7,7,1,0,0,0,0
48,0,0,1,1,0,7,1,0,0,0,0
2,1,1,3,1,0,7,0,2,1,2,1
1,0,0,1,1,7,7,2,2,2,-1,-1
39,13,7,4,1,0,7,1,0,0,0,0
13,7,5,3,1,7,7,4,0,-1,-1,-1
13,7,5,3,1,0,7,4,-1,-1,0,-1
13,7,5,3,1,0,0,1,0,0,0,1
7,5,0,2,1,7,7,4,-1,-1,2,-1
7,5,0,2,1,7,0,0,0,0,0,0
34,7,7,3,1,7,7,1,0,0,0,0
7,7,0,2,0,7,7,4,0,-1,-1,-1
7,7,0,2,0,0,7,0,0,0,0,0
1,1,1,4,1,7,7,0,1,1,1,1
1,1,0,2,1,7,7,0,1,1,1,1
34,7,7,3,1,7,7,1,0,0,0,0
7,7,0,2,0,7,7,4,0,-1,-1,-1
7,7,0,2,0,0,7,0,0,0,0,0
11,5,3,7,1,7,7,0,1,1,1,1
11,5,1,5,1,7,7,2,2,2,-1,-1
11,5,1,4,0,7,7,3,-1,-1,2,2
11,5,1,3,0,7,7,2,2,2,-1,-1
11,5,0,2,0,7,7,1,1,1,1,1
5,0,0,1,1,7,7,1,1,1,1,1
8,4,3,7,1,7,7,0,1,1,1,1
8,3,2,5,1,7,7,0,1,1,1,1
8,2,2,3,1,7,7,2,2,2,-1,-1
8,2,0,2,0,7,7,1,1,1,1,1
2,0,0,1,1,7,7,2,2,2,-1,-1
2,1,1,3,1,7,7,0,1,1,1,1
1,0,0,1,1,7,7,2,2,2,-1,-1
6,6,2,4,1,7,7,0,1,1,1,1
6,6,0,2,1,7,7,0,1,1,1,1
5,1,1,8,1,7,7,0,1,1,1,1
5,1,1,6,1,7,7,0,1,1,1,1
5,1,1,4,1,7,7,0,1,1,1,1
